query,intent,product_id
Is there a shipment incoming for Amay 800TC Organic Cotton Alaska King Size Fitted Sheet ( 108X108 ) Fits Mattress Upto 12 -15 inches Light Blue Stripe?,check_restock_status,3475370853
What is the price of Amay Grommet Top Blackout Curtain Panel White 120 inch Wide by 120 inch Long-1 Panel?,check_price_offer,2200709686
"Are there alternatives to Fresh Roasted Coffee, Indian Monsoon Water Decaf Coffee, Medium-Dark Roast Whole Bean, 80 oz?",check_variations,306465658
"Which aisle is Solaray Food Carotene, Vitamin A as Beta Carotene 25000IU | Carotenoids for Healthy Skin &amp; Eyes, Antioxidant Activity &amp; Immune System Support | 200ct in?",find_product_location,179112912
"Can I still buy SmartMouth Original Activated Breath Rinse 16 oz, Adult today?",check_stock,5062553620
"Is home delivery available for Uvplove Women's Summer Loose Casual Short Sleeve Chiffon Top T-Shirt Blouse,Grey,M?",get_delivery_options,5155882858
"Is home delivery available for Bare Home Cozy Fleece Sheet Set - Extra Plush Polar Fleece - Deep Pocket - Split King, Black?",get_delivery_options,5292666872
How many Shop Curtains do you have?,check_stock,2200709686
"Is Bare Home Cozy Fleece Sheet Set - Extra Plush Polar Fleece - Deep Pocket - Split King, Black coming back in stock soon?",check_restock_status,5292666872
"Are there any discounts on leggings, plus size, activewear?",check_price_offer,531529503
What is the price of Georgia Giant Work Boot Size 10.5(W)?,check_price_offer,17245067
"Can I get extended warranty on Women & Plus Cotton High Waist Full Length Cotton Workout Leggings (BLACK/CHARCOAL, M)?",get_warranty_info,531529503
What is the warranty coverage for Amay 800TC Organic Cotton Alaska King Size Fitted Sheet ( 108X108 ) Fits Mattress Upto 12 -15 inches Light Blue Stripe?,get_warranty_info,3475370853
"Is there a promotion for FY24 Valentine's Day Holiday Deals! itsun Lingerie Sets for Women Sexy Plus Size, Women Sexy Lace Lingerie Set Strappy Bra and Panty Set Two Piece Crotchless Lingerie White?",check_price_offer,1507001378
Can I return items without receipts?,get_return_policy,
Can you tell me about store clearance deals?,check_clearance_section,
"Do you deliver Uvplove Women's Summer Loose Casual Short Sleeve Chiffon Top T-Shirt Blouse,Grey,M to my home?",get_delivery_options,5155882858
What is the warranty coverage for Casual Nights Women's Zipper Front House Dress Sleeveless Seersucker Housecoat Duster Lounger?,get_warranty_info,831123723
Do you accept multiple payment methods?,get_payment_options,
Can I still buy Zenana Women & Plus Basic Cotton Relaxed Fit V-Neck Long Sleeve Plain Active Casual T-ShirtTop(S-3X) today?,check_stock,896931395
Is there a clearance section in this store?,check_clearance_section,
